"2011-2012 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,
"In schools with 10 or more kindergarten students enrolled.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SCHOOL CODE",COUNTY,"PUB/ PRIV","PUBLIC SCHOOL DISTRICT",CITY,"SCHOOL NAME",ENROLLMENT,UP-TO-DATE†,,"CONDI- TIONAL*",,PME**,,"PBE§ ",,DTP††,,POLIO¥,,"1 MMRll ",,"2 MMR‡ ",,HEPB§,,VARI¶,,REPORTED
6089320,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"BROOKVALE ELEM.",61,60,98.3606557377049,1,1.63934426229508,0,0,0,0,60,98.3606557377049,60,98.3606557377049,61,100,60,98.3606557377049,61,100,61,100,Y
6000566,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"CABRILLO ELEM.",82,62,75.609756097561,20,24.390243902439,0,0,0,0,72,87.8048780487805,73,89.0243902439024,82,100,68,82.9268292682927,80,97.5609756097561,80,97.5609756097561,Y
6090526,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"CHADBOURNE (JOSHUA) ELEM.",84,84,100,0,0,0,0,0,0,84,100,84,100,84,100,84,100,84,100,84,100,Y
6000665,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"DURHAM (J. HALEY) ELEM.",56,54,96.4285714285714,2,3.57142857142857,0,0,0,0,55,98.2142857142857,55,98.2142857142857,56,100,55,98.2142857142857,55,98.2142857142857,56,100,Y
6111330,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"FOREST PARK ELEM.",112,109,97.3214285714286,3,2.67857142857143,0,0,0,0,109,97.3214285714286,109,97.3214285714286,111,99.1071428571429,109,97.3214285714286,111,99.1071428571429,111,99.1071428571429,Y
6000624,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"GLENMOOR ELEM.",87,81,93.1034482758621,5,5.74712643678161,0,0,1,1.14942528735632,82,94.2528735632184,83,95.4022988505747,86,98.8505747126437,82,94.2528735632184,85,97.7011494252874,86,98.8505747126437,Y
6066468,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"GOMES (JOHN M.) ELEM.",84,83,98.8095238095238,0,0,0,0,1,1.19047619047619,83,98.8095238095238,83,98.8095238095238,83,98.8095238095238,83,98.8095238095238,83,98.8095238095238,83,98.8095238095238,Y
6000640,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"GREEN (HARVEY) ELEM.",56,50,89.2857142857143,5,8.92857142857143,0,0,1,1.78571428571429,53,94.6428571428571,52,92.8571428571429,55,98.2142857142857,53,94.6428571428571,55,98.2142857142857,54,96.4285714285714,Y
6000590,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"GRIMMER (E. M.) ELEM.",60,60,100,0,0,0,0,0,0,60,100,60,100,60,100,60,100,60,100,60,100,Y
6000764,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"HIRSCH (O. N.) ELEM.",65,58,89.2307692307692,6,9.23076923076923,0,0,1,1.53846153846154,62,95.3846153846154,61,93.8461538461538,64,98.4615384615385,60,92.3076923076923,63,96.9230769230769,64,98.4615384615385,Y
